headline,date,description,url
Arabian Travel Market in Dubai spotlights region's burgeoning tourism sector,"Jun 3, 2024","The 31st edition of the Middle East’s oldest and largest trade travel event, the Arabian Travel Market, comes at a significant time for the region. CNN’s Eleni Giokos sits down with leading industry players for a look at some of the biggest trends shaping the ...",https://www.cnn.com/videos/tv/2024/06/03/an-travel-market-dubai-spotlights-middle-east-tourism-spc-intl.cnn
"Israel confirms its forces are in central Rafah, defying international condemnation of operation in southern Gazan city","Jun 1, 2024","The Israeli military is in central Rafah, the Israel Defense Forces (IDF) confirmed in a statement Friday, despite international concern and anger over its military operation in Gaza’s southernmost city.",https://www.cnn.com/2024/05/31/middleeast/idf-central-rafah-intl/index.html
China’s Xi Jinping calls for peace conference and ‘justice’ over war in Gaza as Arab leaders visit Beijing,"May 31, 2024",Chinese leader Xi Jinping decried “tremendous sufferings” in the Middle East and called for an international peace conference as leaders from Arab nations visit Beijing this week amid mounting global concern over Israel’s war in Gaza.,https://www.cnn.com/2024/05/30/china/xi-jinping-arab-leaders-china-intl-hnk/index.html
Video shows Israeli tanks moving further into Rafah,"May 30, 2024","Video footage verified by CNN shows tanks moving further into Rafah, signaling a push by the Israeli military despite mounting global pressure. CNN’s Jeremy Diamond reports.",https://www.cnn.com/videos/world/2024/05/30/rafah-tanks-israel-gaza-diamond-pkg-intl-ldn-digvid.cnn
Israel's military says it has established “operational control” over Philadelphi Corridor,"May 30, 2024",The Israel Defense Forces says it found 20 tunnels between Gaza and Egypt that are now being “neutralized.” CNN’s Jeremy Diamond reports.,https://www.cnn.com/2024/05/30/world/video/israel-philadelphi-corridor-diamond-pkg-053012aseg1-cnni-world-fast
"May 29, 2024 Israel-Hamas war","Jun 5, 2024","The Israeli military says it established “operational control” over the Philadelphi Corridor, a 14-kilometer (8.7 miles) strip of land along the border between Gaza and Egypt.",https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-05-29-24/index.html
Israeli tanks seen advancing further into Rafah despite international calls to halt offensive,"May 29, 2024","Israel’s tanks were seen in central Rafah on Tuesday for the first time since its military entered Gaza’s southernmost city earlier this month, two eyewitnesses told CNN, signaling a new phase in its offensive despite mounting global pressure.",https://www.cnn.com/2024/05/28/middleeast/israeli-tanks-advance-central-rafah-gaza-intl/index.html
Where to go in Dubai’s Old Town,"May 27, 2024","While super-tall skyscrapers and air-conned shopping malls might be the first thing that comes to mind when you think of Dubai, the city also has an old district where visitors can see where it all began.",https://www.cnn.com/travel/gallery/dubai-old-town-historical-hnk-spc-intl/index.html
"May 26, 2024 Israel-Hamas war","May 27, 2024","At least 35 people were killed in Israeli strikes on a camp for displaced people in Rafah, the Gaza health ministry said Sunday. Israel claimed it struck a Hamas compound in the area.",https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-05-26-24/index.html
"From one generation to the next, Palestinians aim to keep the history of al-Nakba alive","May 24, 2024","Mohammad Zarqa trembled with fear as he watched panicked crowds of people, screaming and covered in blood, rush into his small village on the outskirts of Jerusalem.",https://www.cnn.com/2024/05/15/us/nakba-day-anniversary-palestinians/index.html
Spain's foreign minister: Recognizing Palestine is the best way to foster Middle East peace,"May 23, 2024","As Spain, Norway and Ireland announce plans to recognize a Palestinian state, Jose Manuel Albares says Spain’s goal is to bring security for everyone.",https://www.cnn.com/videos/tv/2024/05/22/amanpour-albares-palestine-recognition.cnn
"Norwegian FM says formally recognizing a Palestinian state is ""the right thing to do""","May 23, 2024","Norwegian Foreign Minister Espen Barth Eide tells CNN’s Becky Anderson why his country, Spain and Ireland are formally recognizing a Palestinian state now, and why the move supports more moderate forces seeking Middle East peace.",https://www.cnn.com/2024/05/22/world/video/ctw-norway-palestinian-recognition-barth-eide-intv-052209aseg2-cnni-world-fast
"Spain, Norway and Ireland’s recognition of a Palestinian state is likely to have little impact on Israel","May 22, 2024",Europe has struggled over the Middle East for a very long time.,https://www.cnn.com/2024/05/22/europe/norway-ireland-spain-palestinian-state-analysis-intl/index.html
Where does Iran go from here?,"May 21, 2024","Following the death of Iranian president Ebrahim Raisi, Alex Vatanka, Director of the Iran Program at the Middle East Institute, tells Becky Anderson how the country moves forward.",https://www.cnn.com/2024/05/20/world/video/iran-expert-052011aseg1-cnni-us-fast
What does Raisi's death mean for the Middle East?,"May 20, 2024","Iranian president Ebrahim Raisi’s death comes at a time of turmoil in the Middle East, centered around Israel’s war in Gaza. Fawaz Gerges of the London School of Economics joins Becky Anderson to discuss.",https://www.cnn.com/2024/05/20/world/video/ctw-iran-raisi-killed-fawaz-gerges-intv-fst-052010aseg1-cnni-world-fast
Middle East responds to the death of Iranian president,"May 20, 2024","Professor Ali Ansari, from the University of St. Andrews, discusses the impact of Ebrahim Raisi’s presidency and what his death means for the future of Iran.",https://www.cnn.com/2024/05/20/world/video/iran-president-death-ali-ansari-intv-fst-052003aseg2-cnni-world-fast
Palestinians flee Rafah as Israeli troops continue military operations,"May 20, 2024","As Israeli troops continue to push into Rafah and back into northern Gaza, Palestinians say there’s no safe place left. CNN’s Scott McLean reports.",https://www.cnn.com/2024/05/20/world/video/israel-hamas-war-scott-mclean-live-052003aseg3-cnni-world-fast
Analysis: Where do U.S. relations in Middle East go from here?,"May 20, 2024","With no survivors found from the helicopter crash involving Iran’s president, CNN Senior Political Analyst Ron Brownstein talks about the potential impact on U.S.-Middle East relations.",https://www.cnn.com/2024/05/20/world/video/iran-helicopter-crash-ron-brownstein-intv-fst-051911pseg2-cnni-world-fast
Hospital: Israeli strikes kill dozens in northern Gaza,"May 19, 2024","While some 800,000 Palestinians have been displaced from Gaza’s southern city of Rafah, medical sources say Israeli strikes in the north killed dozens of people. CNN’s Anna Coren has the latest on the crisis in Gaza.",https://www.cnn.com/2024/05/19/world/video/gaza-in-crisis-coren-051902aseg1-cnni-world-fast
Why Middle East travel is growing faster ‘than any other region’,"May 16, 2024","At the Arabian Travel Market, Julia Simpson, president of the World Travel and Tourism Council, spoke about trends in tourism in the Middle East.",https://www.cnn.com/travel/arabian-travel-market-middle-east-travel-spc/index.html
Egypt warns Israel of ‘dire repercussions’ over Rafah operation in Gaza,"May 16, 2024","Egypt could consider downgrading relations with Israel if it presses on with a military operation in Gaza’s southernmost city of Rafah on the Egyptian border, an Egyptian official told CNN.",https://www.cnn.com/2024/05/15/middleeast/egypt-warns-israel-dire-repercussions-rafah-operation-mime-intl/index.html
Arabian Travel Market in Dubai spotlights the region's burgeoning tourism,"May 15, 2024","At Dubai’s Arabian Travel Market event, CNN caught up with Azzan Al Busaidi, Oman’s Undersecretary of Tourism.",https://www.cnn.com/videos/tv/2024/05/15/an-travel-market-spotlights-middle-east-tourism-spc-intl.cnn
Oman eyes top spot in regional logistics race,"May 15, 2024","Strategically located at the crossroads of key trade routes, shipping and logistics companies across the Middle East play a key role in facilitating the transport of goods between markets in the East and the West. CNN’s Eleni Giokos looks at how ...",https://www.cnn.com/videos/tv/2024/05/06/logistics-race-oman-middle-east-spc-intl.cnn
A desperate reality for millions in Gaza,"May 14, 2024","Dwindling food aid, medical shortages and overcrowded shelters contribute to a humanitarian crisis in Gaza of unimaginable scope. Olga Cherekov with the U.N. Office for the Coordination of Humanitarian Affairs joins Rosemary Church to share her ...",https://www.cnn.com/2024/05/14/world/video/gaza-humanitarian-crisis-olga-cherekov-intv-05143aseg2-cnni-world-fast
"U.S. assesses Israel has amassed enough troops to launch full-scale incursion into Rafah, officials say","May 14, 2024",Senior U.S. officials tell CNN the Biden administration has assessed that Israel has amassed enough troops near Rafah to move forward with a full-scale incursion. CNN Senior White House Correspondent MJ Lee reports.,https://www.cnn.com/2024/05/14/world/video/israel-rafah-incursion-troops-intel-us-war-lee-lkl-05141aseg1-cnni-us-fast
"Netanyahu: It's either Israel or ""Hamas monsters""","May 14, 2024",Israeli forces are now operating in areas of Gaza that they said they had previously cleared. CNN’s Jeremy Diamond reports from Jerusalem.,https://www.cnn.com/2024/05/14/world/video/israel-gaza-war-strategy-netanayahu-protests-diamond-lkl-051412aseg1-cnni-world-fast
"UNRWA: 360,000+ Palestinians have fled Rafah fighting over the past week","May 14, 2024","A U.N. agency says more than 360,000 Palestinians have fled Rafah over the past week, as Israel strikes targets in the north and south of Gaza. CNN’s Scott McLean reports.",https://www.cnn.com/2024/05/13/world/video/israel-gaza-rafah-live-051311aseg1-cnni-world-fast
On GPS: A vision for post-war Gaza,"May 13, 2024",Former Palestinian Authority Foreign Minister Nasser al-Kidwa tells Fareed who he thinks should rebuild and provide security in Gaza after the war.,https://www.cnn.com/videos/world/2024/05/12/gps-gaza-post-war.cnn
Travel sector grows in Middle East despite conflict,"May 10, 2024","The Middle East’s Travel and Tourism sector grew by more than 25% in 2023 and international visitors’ spending reached almost $180 billion, according to the World Travel and Tourism Council.",https://www.cnn.com/2024/05/09/world/video/ctw-middle-east-tourism-anderson-w-sots-050909aseg1-cnni-world-fast
Biden says U.S. would stop sending bombs to Israel if major invasion of Rafah launched,"May 9, 2024",CNN’s Ben Wedeman looks at how Biden says he will stop sending bombs and artillery shells to Israel if they launch a major invasion of Rafah.,https://www.cnn.com/2024/05/09/world/video/ben-wedeman-live-gaza-aid-050904aseg1-cnni-world-fast
Israel captures Palestinian side of Rafah amid ceasefire talks,"May 8, 2024","The IDF claim to have captured the Palestinian side of the Rafah crossing on May 7 as they plan to send a delegation to Cairo for continued ceasefire talks with Hamas. The move is an attempt to put more pressure on Hamas in negotiations, a source told ...",https://www.cnn.com/videos/world/2024/05/08/israel-rafah-crossing-ceasefire-ldn-digvid-dle.cnn
Jordanian FM: Netanyahu must face real consequences,"May 8, 2024",Jordanian Foreign Minister Ayman Safadi talks with CNN’s Becky Anderson about the Israel-Hamas war.,https://www.cnn.com/2024/05/07/world/video/gaza-jordan-foreign-minister-ayman-safadi-intv-050711aseg1-cnni-world-fast
Explosions in Rafah as IDF tells people in eastern part of city to evacuate,"May 7, 2024","More than a thousand people have been rescued after being marooned by flooding in western Kenya, the Red Cross said on Monday. CNN’s Larry Madowo reports on why climate change is exacerbating the devastation.",https://www.cnn.com/2024/05/07/world/video/kenya-floods-climate-change-madowo-05071aseg2-cnni-world
Explosions in Rafah as IDF tells people in eastern part of city to evacuate,"May 7, 2024","CNN’s John Vause speaks to Suze van Meegen, from the Norwegian Refugee Council, who is currently in Rafah about the scene on the ground as Israel launched airstrikes.",https://www.cnn.com/2024/05/07/world/video/rafah-gaza-humanitarian-ceasefire-van-meeghen-vause-intv-05071aseg1-cnni-world-fast
Israeli military says it has captured Gaza side of the Rafah border crossing,"May 7, 2024",CNN’s Ben Wedeman reports on the overnight airstrikes in Rafah and the capture of the Rafah border crossing by the Israeli military.,https://www.cnn.com/2024/05/07/world/video/rafah-crossing-israel-hamas-ceasefire-wedeman-live-050704aseg1-cnni-world-fast
Video shows multiple explosions in Rafah amid Israeli airstrikes,"May 7, 2024","The Israeli military says it has captured the Gazan side of the Rafah crossing, as Israel says its military will move forward with its operation in the region.",https://www.cnn.com/videos/world/2024/05/07/rafah-crossing-airstrikes-hamas-ceasefire-nn-hnk-digvid.cnn
Inside the Middle East’s ‘best’ hotel,"May 7, 2024","Opened last year in a star-studded, three-day celebration, Atlantis, The Royal in Dubai is the only resort in the Middle East to snag a spot on the inaugural World’s 50 Best Hotels list.",https://www.cnn.com/travel/gallery/atlantis-the-royal-dubai-best-hotel-hnk-spc-intl/index.html
"""It's not done until it's done"": Former hostage negotiator reacts to Hamas' acceptance of ceasefire proposal","May 7, 2024","Bianna Golodryga speaks to Middle East Director of the International Communities Organization, Gershon Baskin.",https://www.cnn.com/2024/05/06/world/video/hamas-deal-baskin-intv-fst05061pseg2-cnni-world-fast
Gazans start leaving eastern Rafah as Israeli military orders evacuations,"May 7, 2024","Gazans packed their belongings on pick-up trucks, cars and donkey-drawn carts after Israel’s military issued a call for residents there to “evacuate immediately.”",https://www.cnn.com/2024/05/06/middleeast/israel-gaza-eastern-rafah-evacuation-notice-hnk-intl/index.html
Saudi Arabia hosts World Economic Forum Special Meeting,"May 6, 2024",CNN’s Eleni Giokos attended a special World Economic Forum meeting held outside the traditional Davos setting to get a closer look at the transformation shaping Middle Eastern economies.,https://www.cnn.com/videos/tv/2024/05/06/saudi-arabia-hosts-wef-riyadh-spc-intl.cnn
On GPS: Is there a credible path to a Palestinian state?,"May 6, 2024",Dartmouth College professor Bernard Avishai and former Egyptian diplomat Ezzedine Fishere speak to Fareed about whether there’s a viable path to peace in the Middle East.,https://www.cnn.com/videos/world/2024/05/05/gps-0505-how-to-end-the-israel-hamas-war.cnn
"Israel's incursion into Rafah has not happened, but will it?","May 4, 2024","After months of talking about it, Israel still has not launched a ground offensive in Rafah. CNN’s Anna Coren speaks with Jon B. Alterman, Senior Vice President, CSIS Brzezinski Chair in Global Security and Geostrategy, about some of the challenges ...",https://www.cnn.com/2024/05/04/world/video/israel-rafah-ground-invasion-jon-b-alterman-intv-050403aseg1-cnni-world
Students engage in peaceful dialogue about war,"May 4, 2024",Rep. Ro Khanna joins students for a conversation about the crisis in the Middle East.,https://www.cnn.com/2024/05/03/us/video/ro-khanna-war-israel-gaza-fst-050312pseg2-cnni-u-s-fast
"‘None go forward without the others.’ US mega-deal would tie together the futures of Saudi Arabia, Israel and Gaza","May 3, 2024","Saudi Arabia and the United States are finalizing the details of a landmark deal to strengthen bilateral trade and defense – but an agreement will not be reached if the kingdom and Israel do not establish diplomatic relations, US officials said.",https://www.cnn.com/2024/05/02/middleeast/us-saudi-treaty-israel-palestinian-statehood-intl/index.html
"Opinion: Unable to ‘win’ in Gaza, Israel sets its sights elsewhere","May 2, 2024","After Israel-Iran tensions, the clock may be ticking for Lebanon, with a possible Israeli offensive looming that would be devastating to Biden administration, writes Hussein Ibish.",https://www.cnn.com/2024/05/02/opinions/israel-hezbollah-lebanon-tensions-offensive-ibish/index.html
A look inside Iran’s military complex,"May 2, 2024","Reporting from Tehran, Fred Pleitgen speaks to a general of Iran’s Revolutionary Guard about the weapons it’s been using against Israel and allegedly giving to Russia.",https://www.cnn.com/2024/05/01/world/video/israel-iran-fred-pleitgen-pkg-intv-050101pseg2-cnni-world-fast
"After Iranian rapper sentenced to death, regime might make 'an example' of him, warns expert","May 2, 2024","Sanam Vakil, Director of the Middle East Programme at Chatham House, talks to Christiane Amanpour about Iranian leaders’ ambitions both in the region and at home.",https://www.cnn.com/videos/tv/2024/05/01/amanpour-iran-sanam-vakil.cnn
CNN gets a rare look at the Iranian missiles and drones that hit Israel,"May 2, 2024","Two weeks after the Middle East came to the brink of an all-out war, Tehran is keen to show the world that it is capable of fighting a wider conflict should it be faced with one.",https://www.cnn.com/2024/05/01/middleeast/iranian-missiles-drones-that-hit-israel-mime-intl/index.html
CNN gets close-up look at types of missiles used in attack on Israel,"May 2, 2024",CNN’s Fred Pleitgen gets a close-up look at the types of missiles Iran’s Revolutionary Guard Corps used in the attack on Israel in mid April.,https://www.cnn.com/2024/05/01/world/video/iran-missiles-israel-attack-pleitgen-dnt-digvid
Inside the tiny corner of Spain that lies in the middle of North Africa,"May 1, 2024",The North African territory of Ceuta is surrounded by Morocco but claimed as part of Spanish Europe. It’s one of the most unusual places on either continent.,https://www.cnn.com/travel/ceuta-spain-north-africa/index.html
Saudi Arabia plans further growth in its non-oil activities,"Apr 29, 2024","Saudi Arabia’s Minister of Economy and Planning Faisal F. Alibrahim tells CNN that the country’s non-oil activities have reached 50% of total GDP, marking a milestone they plan to further expand upon.",https://www.cnn.com/2024/04/29/world/video/saudi-minister-of-economy-alibrahim-sot-042909aseg2-cnni-world-fast
Report: Israel is behind rising settler violence in West Bank,"Apr 29, 2024","A Human Rights Watch report says Israel is behind the rise in settler violence against Palestinians in the West Bank. Michael Holmes speaks with Omar Shakir, Israel and Palestine Director of Human Rights Watch, about what the report says.",https://www.cnn.com/2024/04/29/world/video/west-bank-settler-violence-omar-shakir-intv-042912aseg1-cnni-world-fast
"Blinken to travel to Israel, other key Middle Eastern countries amid stalled hostage and ceasefire negotiations","Apr 29, 2024","Secretary of State Antony Blinken will travel to Israel, Jordan and Saudi Arabia this week to meet with regional partners as talks between Israel and Hamas remain deadlocked, the State Department announced over the weekend.",https://www.cnn.com/2024/04/27/politics/blinken-travel-saudi-arabia/index.html
Anti-Israel rhetoric ramps up in Iran,"Apr 27, 2024","As tensions between Iran and Israel escalate in the Middle East, Fred Pleitgen reports on what Iranians on the ground are saying and demanding from their country’s foreign policy.",https://www.cnn.com/2024/04/26/world/video/iran-pleitgen-dnt-042602pseg1-cnni-world-fast
The dangers for journalists in Gaza,"Apr 26, 2024",Michael Holmes speaks with award-winning journalist Maha Hussaini about the challenges and risks of reporting in Gaza.,https://www.cnn.com/2024/04/26/world/video/gaza-hussaini-intv-042601a-seg1cnni-world-fast
"April 21, 2024 - News on the Middle East conflicts","Apr 22, 2024","Israeli settlers attacked Palestinians in the West Bank this weekend, according to the Palestinian health ministry, while the IDF carried out one of its largest operations in the occupied territory since October 7.",https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-04-21-24/index.html
On GPS: Jordan's foreign minister: 'The focus should remain on Gaza',"Apr 22, 2024","As tit-for-tat strikes between Israel and Iran appear to have concluded, Jordanian Foreign Minister Ayman Safadi explains to Fareed why he thinks Israel’s policies have brought “more conflict, more tension, hatred, dehumanization and the destruction ...",https://www.cnn.com/videos/world/2024/04/21/gps-0421-jordanian-fm-on-israels-policies.cnn
"April 20, 2024 - News on the Middle East conflicts","Apr 21, 2024","The Israeli military is carrying out what appears to be one of its largest operations in the West Bank since October 7, while broader tensions simmer in the Middle East following strikes between Iran and Israel. Follow for live updates.",https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-04-20-24/index.html
Record-breaking flooding from Pakistan to UAE,"Apr 20, 2024","Both Pakistan and the United Arab Emirates are working to recover from major flooding events, but forecasts for one region indicate more severe weather is on the way.",https://www.cnn.com/2024/04/20/world/video/major-flooding-in-pakistan-uae-tell-fst-042004aseg2-cnni-world-fast
Washington wrestles with ‘new equation’ of direct attacks between Iran and Israel,"Apr 20, 2024","CNN’s Michael Holmes discusses the increasing tensions in the Middle East with Steven Cook, a Senior Fellow for Middle Eastern Studies with the Council on Foreign Relations.",https://www.cnn.com/2024/04/20/world/video/israel-iran-tensions-cook-interview-042401aseg1-cnni-world-fast
"April 19, 2024 - Iran targeted in aerial attack","Apr 20, 2024","Israel carried out a military strike on Iran early Friday, a US official told CNN, in a potentially dangerous escalation of a fast-widening Middle East conflict that Iranian officials have so far sought to play down.",https://www.cnn.com/middleeast/live-news/israel-iran-gaza-conflict-news-04-19-24/index.html
Egypt calls for restraint amid Israeli strikes on Iran,"Apr 20, 2024",Richard Quest speaks to Egyptian Finance Minister Mohamed Maait as tensions flare in the Middle East.,https://www.cnn.com/2024/04/19/world/video/egypt-finance-minister-imf-maait-live-041904pseg1-cnni-world-fast
Israeli and Iranian strikes transform Middle East geopolitics,"Apr 20, 2024",Israel and Iran have now thrust the Middle East into a dangerous new era by erasing the taboo against overt military strikes on one another’s territory.,https://www.cnn.com/2024/04/19/politics/israel-iran-strike-analysis/index.html
Iran and Israel have averted an all-out war – for now,"Apr 19, 2024",The scope of Israel’s military response to Iran’s first-ever direct attack on the country remains murky. Israeli officials have yet to publicly acknowledge responsibility for reported overnight explosions in parts of Iran on Friday. Tehran has dismissed these ...,https://www.cnn.com/2024/04/19/middleeast/iran-israel-averted-war-for-now-analysis-mime-intl/index.html
"Israel has carried out a strike inside Iran, US official tells CNN, as region braces for further escalation","Apr 19, 2024","Israel has carried out a strike inside Iran, a US official told CNN Friday, a move that threatens to push the region deeper into conflict. The target is not nuclear, the official added.",https://www.cnn.com/2024/04/18/middleeast/isfahan-iran-explosion-intl-hnk/index.html
Video shows flashes in sky near location where Israel struck Iran,"Apr 19, 2024","Israel has carried out a military strike inside Iran, a US official told CNN. Israel has not commented and Iran has not identified the source of the attack. Videos show flashes in the sky near the location of the strike. CNN cannot independently confirm the ...",https://www.cnn.com/videos/world/2024/04/19/israel-strike-inside-iran-video-ctm-vpx.cnn
Iran says it shot down drones as regional tensions flare. How did we get here?,"Apr 19, 2024","An unclaimed aerial attack in central Iran on Friday comes fresh on the heels of tit-for-tat Iranian and Israeli strikes earlier this month, marking a potentially dangerous escalation of the Middle East conflict.",https://www.cnn.com/2024/04/19/middleeast/iran-attack-middle-east-explainer-intl-hnk/index.html
Retired U.S. Army General: the situation between Israel and Iran has not returned to normal,"Apr 19, 2024","A retired U.S. Army General tells CNN’s John Vause that despite the apparent pause in strikes between Israel and Iran, the situation has not returned to normal. Major General Mark MacCarley (Ret.) says Israel’s response was a shrewd calculation by ...",https://www.cnn.com/2024/04/19/world/video/israel-iran-strikes-calculation-mark-maccarley-intv-041903aseg2-cnni-world-fast
"Former senior Israeli general: Israel has to respond to Iran, but in a proportional way","Apr 19, 2024","A former senior Israeli general told Christiane Amanpour that Israel probably has to respond to strikes by Iran, but in a proportional way. Christiane speaks from London with CNN’s John Vause.",https://www.cnn.com/2024/04/19/world/video/israel-strikes-iran-christiane-amanpour-live-041903aseg1-cnni-world-fast
"Iran’s military response will be ‘immediate and at a maximum level’ if Israel attacks, foreign minister says","Apr 19, 2024","Iran’s response if Israel takes any further military action against it would be “immediate and at a maximum level”, Foreign Minister Hossein Amir-Abdollahian told CNN Thursday as fears rise of an escalation of the conflict in the Middle East.",https://www.cnn.com/2024/04/18/middleeast/iran-foreign-minister-israel-warning-intl-hnk/index.html
Iran's FARS news: Three explosions heard near army base in Isfahan province,"Apr 19, 2024","Israel has carried out a strike inside Iran, according to a US official. The target is not nuclear, the official said. CNN’s Jim Sciutto discusses the situation with retired U.S. Army Major General Mark MacCarley.",https://www.cnn.com/2024/04/19/world/video/israel-iran-explosions-maccarley-interview-041901aseg1-cnni-world-fast1
Israeli military says they have 'no comment' following reports of explosions in Iran,"Apr 19, 2024","CNN has previously reported that Israel told the U.S. its response to last weekend’s massive aerial assault on Israel would be limited in scope. CNN’s Michael Holmes discusses the situation with Miri Eisin, a Colonel in the IDF.",https://www.cnn.com/2024/04/19/world/video/israel-iran-explosions-eisin-interview-041901aseg2-cnni-world-fast
Iran's Foreign Minister issued warning to Israel just hours before Israel attack on Iran,"Apr 19, 2024",Iranian foreign minister Hossein Amir-Abdollahian spoke to CNN’s Erin Burnett in an exclusive live interview amid rising tensions with Israel and ongoing conflict in the Middle East.,https://www.cnn.com/videos/world/2024/04/18/iran-israel-foreign-minister-hossein-amir-abdollahian-ebof-intv-vpx.cnn
Chaos in Dubai as UAE records heaviest rainfall in 75 years,"Apr 18, 2024","Chaos ensued in the United Arab Emirates after the country witnessed the heaviest rainfall in 75 years, with some areas recording more than 250 mm of precipitation in fewer than 24 hours, the state’s media office said in a statement Wednesday.",https://www.cnn.com/2024/04/17/weather/dubai-rain-flooding-climate-wednesday-intl/index.html
Tensions running high in region as Israel considers options,"Apr 18, 2024",CNN’s Nic Robertson looks at the divisions within Israel.,https://www.cnn.com/2024/04/18/world/video/nic-robertson-divisions-within-israel-pkg-041801aseg1-cnni-world-fast
"'I do not recommend a full scale war with Iran,' says former IDF intelligence chief","Apr 18, 2024",Tamir Hayman was a Major General in the Israeli Defense Forces. He tells Christiane Amanpour that Israel has time to consider its response to Iran’s attack.,https://www.cnn.com/videos/tv/2024/04/17/amanpour-hayman-israel-iran-gaza.cnn
Jordan's foreign minister calls for de-escalation after Iranian attack,"Apr 15, 2024","In an exclusive interview with CNN’s Becky Anderson, Jordanian Foreign Minister Ayman Safadi weighs in on the rising regional tensions following Iran’s attack on Israel and reaffirms the need for de-escalation.",https://www.cnn.com/2024/04/15/world/video/jordanian-fm-on-iran-attack-intv-fst-041503aseg1-cnni-world-fast
Iran issues new threats as it braces for a potential Israeli response,"Apr 17, 2024","Narges Bajoghli, Assistant Professor at Johns Hopkins University, speaks to Becky Anderson about Iran’s multipronged attack on Israel and what it says about the power of Iran’s Revolutionary Guards.",https://www.cnn.com/2024/04/17/world/video/iran-israel-narges-bajoghli-intv-041710aseg02-cnni-world-fast
Dozens killed as dangerous flooding hits Gulf region,"Apr 17, 2024","At least 17 people have died in flash floods in Oman, while more than 100 are reported dead in Pakistan and Afghanistan. CNN Weather Anchor Derek Van Dam has more on the dangerous storms.",https://www.cnn.com/2024/04/17/weather/video/middle-east-flooding-van-dam-live-04179aseg1-cnni-weather-fast
Israel weighing response to Iranian attack,"Apr 17, 2024","As Israel’s war cabinet weighs its response to Iran’s attack, former NATO Supreme Allied Commander Wesley Clark gives insight into what’s at stake.",https://www.cnn.com/2024/04/17/world/video/israel-iran-response-clark-fst-cnni-world-fast
Can Netanyahu avoid triggering a regional war?,"Apr 17, 2024","Can Netanyahu read the room right – with Iran threatening to attack, allies warning him not to – and avoid triggering a regional war?",https://www.cnn.com/2024/04/16/middleeast/analysis-israel-options-for-iran-attack-intl-latam/index.html
"Conflicts in the Middle East and Ukraine are 'theaters' in a wider confrontation, says analyst","Apr 17, 2024","CNN’s Rosemary Church talks to military analyst Malcolm Davis about suggestions that there’s a double standard between U.S. support for Israel and Ukraine, and why he thinks both conflicts should be seen as theaters of a wider war.",https://www.cnn.com/2024/04/17/world/video/ukraine-missiles-air-defense-zelensky-israel-malcolm-davis-intv-cnni-world-fast
Israel's military displays part of Iranian missile used in attack,"Apr 17, 2024",CNN’s Jeremy Diamond visits an Israeli military base to get an up-close look at what the IDF says is part of an Iranian missile used in its recent attack on Israel.,https://www.cnn.com/2024/04/17/world/video/israel-iran-missile-diamond-pkg-041171aseg2-cnni-world-fast
Antisemitism & Islamophobia amid Mideast war,"Apr 17, 2024",Tensions over Israel and Gaza: A new ADL study says antisemitic incidents rose 140%; USC cancels Muslim valedictorian’s speech over security concerns.,https://www.cnn.com/videos/us/2024/04/17/exp-tsr-todd-campus-tensions-antisemitism-islamophobia.cnn
Gerges: My fear is that Biden is sleepwalking the U.S. into another war in the Middle East,"Apr 17, 2024",London School of Economics Professor Fawaz Gerges joins Isa Soares to discuss how Israel may respond to Iran’s recent attack.,https://www.cnn.com/2024/04/16/world/video/israel-iran-fawaz-gerges-intv-041602pseg1-cnni-world-fast
Iraqi PM: 'The region cannot stand tension' between Iran and Israel,"Apr 17, 2024",Iraqi Prime Minister Mohammed Shia al-Sudani speaks about meeting with U.S. President Biden and the importance of de-escalating tensions in the Middle East.,https://www.cnn.com/videos/tv/2024/04/16/amanpour-mohammed-shia-al-sudani-iraq.cnn
"'This could get very big, very quickly': Former U.S. defense Secretary on Israel and Iran","Apr 17, 2024",Mark Esper tells Christiane Amanpour that the Middle East is arguably “on the precipice” of wider regional war.,https://www.cnn.com/videos/tv/2024/04/16/amanpour-esper-iran-ukraine-trump.cnn
"""Iran will change the paradigm forever"": Former U.S. Defense Secretary on escalating tensions in the Middle East","Apr 17, 2024",Christiane Amanpour speaks with Former U.S. Defense Secretary Mark Esper about the consequences of Iran’s attack on Israel and whether the region is on the precipice of war.,https://www.cnn.com/2024/04/16/world/video/iran-will-change-the-paradigm-forever-former-u-s-defense-secretary-on-escalating-tensions-in-the-middle-east
Opinion: 5 critical takeaways from Iran’s attack on Israel,"Apr 17, 2024","The notion that one day Iran would attack Israel may have seemed like a distant possibility, but we learned the unimaginable does happen, writes Frida Ghitis.",https://www.cnn.com/2024/04/16/opinions/5-critical-takeaways-iran-attack-on-israel-ghitis/index.html
Egyptian Foreign Minister urges restraint in calls with Israel and Iran,"Apr 16, 2024",Egypt is a major player in trying to defuse the crisis in the Middle East. Egyptian Foreign Minister Sameh Shoukry speaks to Becky Anderson about efforts to deescalate tensions between Iran and Israel.,https://www.cnn.com/2024/04/16/world/video/egypt-calls-for-calm-sameh-shoukry-intv-04162410aseg01-cnni-world-fast
